PNA,ADRESS,WOJ
97-319 Będków-Kolonia,Będków tomaszowski,łódzkie
62-061 Będlewo,Stęszew poznański,wielkopolskie
78-530 Będlino,Wierzchowo drawski,zachodniopomorskie
83-422 Będomin,Nowa Karczma kościerski,pomorskie
83-422 Będominek,Kościerzyna kościerski,pomorskie
66-112 Będów,Czerwieńsk zielonogórski,lubuskie
95-040 Będzelin,Koluszki łódzki wschodni,łódzkie
87-603 Będzeń,Wielgie lipnowski,kujawsko-pomorskie
28-506 Będziaki,Czarnocin kazimierski,świętokrzyskie
76-220 Będziechowo,Główczyce słupski,pomorskie
62-704 Będziechów,Kawęczyn turecki,wielkopolskie
39-127 Będziemyśl,Sędziszów Małopolski ropczycko-,podkarpackie
,sędziszowski,
39-124 Będzienica,Iwierzyce ropczycko-,podkarpackie
,sędziszowski,
72-405 Będzieszewo,Świerzno kamieński,zachodniopomorskie
83-000 Będzieszyn,Pruszcz Gdański gdański,pomorskie
63-450 Będzieszyn,Ostrów Wielkopolski ostrowski,wielkopolskie
32-860 Będzieszyna,Czchów brzeski,małopolskie
76-220 Będzimierz,Główczyce słupski,pomorskie
42-500 Będzin,I Armii Wojska Polskiego Będzin będziński,śląskie
42-500 Będzin,9 Maja Będzin będziński,śląskie
42-500 Będzin (Ksawera),15 Grudnia Będzin będziński,śląskie
42-500 Będzin (Małobądz),27 Stycznia Będzin będziński,śląskie
42-500 Będzin (Warpie),XXXV-Lecia PRL Będzin będziński,śląskie
42-500 Będzin,Akacjowa Będzin będziński,śląskie
42-500 Będzin,al. aleja Hugona Kołłątaja Będzin będziński,śląskie
42-500 Będzin,Armii Krajowej Będzin będziński,śląskie
42-500 Będzin,Armii Ludowej Będzin będziński,śląskie
42-506 Będzin (Grodziec),Adama Asnyka Będzin będziński,śląskie
42-500 Będzin,Astrów Będzin będziński,śląskie
42-500 Będzin (Małobądz),Krzysztofa Kamila Baczyńskiego Będzin będziński,śląskie
42-506 Będzin (Grodziec),Norberta Barlickiego Będzin będziński,śląskie
42-500 Będzin,Basztowa Będzin będziński,śląskie
42-500 Będzin,Józefa Bema Będzin będziński,śląskie
42-500 Będzin,dr. Adama Bilika Będzin będziński,śląskie
42-500 Będzin,Bławatków Będzin będziński,śląskie
42-506 Będzin (Grodziec),Boleradz Będzin będziński,śląskie
42-500 Będzin,Bolesława Chrobrego Będzin będziński,śląskie
42-504 Będzin (Łagisza),Bory Będzin będziński,śląskie
42-500 Będzin,Tadeusza Boya-Żeleńskiego Będzin będziński,śląskie
42-500 Będzin,Władysława Broniewskiego Będzin będziński,śląskie
42-500 Będzin,Browarna Będzin będziński,śląskie
42-500 Będzin (Małobądz),Brzozowa Będzin będziński,śląskie
42-500 Będzin (Brzozowica),Brzozowicka Będzin będziński,śląskie
42-500 Będzin,Bursztynowa Będzin będziński,śląskie
42-500 Będzin,Wirginiusza Chmielewskiego Będzin będziński,śląskie
42-506 Będzin (Grodziec),Fryderyka Chopina Będzin będziński,śląskie
42-500 Będzin (Warpie),Cicha Będzin będziński,śląskie
42-500 Będzin,Józefa Cieszkowskiego Będzin będziński,śląskie
42-500 Będzin,Cisowa Będzin będziński,śląskie
42-500 Będzin (Ksawera),Cynkowa Będzin będziński,śląskie
42-500 Będzin,Czeladzka Będzin będziński,śląskie
42-500 Będzin,Ignacego Daszyńskiego Będzin będziński,śląskie
42-504 Będzin (Łagisza),Dąbrowska Będzin będziński,śląskie
42-500 Będzin,Dąbrowszczaków Będzin będziński,śląskie
42-500 Będzin (Małobądz),Dębowa Będzin będziński,śląskie
42-500 Będzin (Małobądz),Długa Będzin będziński,śląskie
42-506 Będzin (Grodziec),Doroty Będzin będziński,śląskie
42-504 Będzin (Łagisza),Drzewna Będzin będziński,śląskie
42-500 Będzin,Dworska Będzin będziński,śląskie
42-504 Będzin (Łagisza),Energetyczna Będzin będziński,śląskie
42-500 Będzin (Ksawera),Filtrowa Będzin będziński,śląskie
42-500 Będzin,Pawła Findera Będzin będziński,śląskie
42-500 Będzin,Małgorzaty Fornalskiej Będzin będziński,śląskie
42-500 Będzin,Stanisława Gawlika Będzin będziński,śląskie
42-500 Będzin (Warpie),Gen. Władysława Andersa Będzin będziński,śląskie
42-506 Będzin (Grodziec),Gen. Romualda Traugutta Będzin będziński,śląskie
42-500 Będzin,Góra Zamkowa Będzin będziński,śląskie
42-500 Będzin,Górna Będzin będziński,śląskie
42-506 Będzin (Grodziec),Górnicza Będzin będziński,śląskie
42-500 Będzin,Grabowa Będzin będziński,śląskie
42-506 Będzin (Grodziec),Graniczna Będzin będziński,śląskie
42-500 Będzin,Grobla Będzin będziński,śląskie
42-500 Będzin,Grunwaldzka Będzin będziński,śląskie
42-500 Będzin,Gwardii Ludowej Będzin będziński,śląskie
42-500 Będzin,Gzichowska Będzin będziński,śląskie
42-500 Będzin,Władysława Hibnera Będzin będziński,śląskie
42-506 Będzin (Grodziec),Hutnicza Będzin będziński,śląskie
42-506 Będzin,Plac im. Skarbińskich Będzin będziński,śląskie
42-500 Będzin,Jabłoniowa Będzin będziński,śląskie
42-500 Będzin,Królowej Jadwigi Będzin będziński,śląskie
42-506 Będzin (Grodziec),Jagiellońska Będzin będziński,śląskie
42-500 Będzin,Jana III Sobieskiego Będzin będziński,śląskie
42-500 Będzin (Małobądz),Jarzębinowa Będzin będziński,śląskie
42-500 Będzin,Jasielska Będzin będziński,śląskie
42-500 Będzin,Jasna Będzin będziński,śląskie
42-500 Będzin,Wojciecha Jastrzębowskiego Będzin będziński,śląskie
42-500 Będzin,Jaśminowa Będzin będziński,śląskie
42-500 Będzin (Małobądz),Jaworowa Będzin będziński,śląskie
42-504 Będzin (Łagisza),Jedności Będzin będziński,śląskie
42-500 Będzin (Małobądz),Jesionowa Będzin będziński,śląskie
42-500 Będzin,Berka Joselewicza Będzin będziński,śląskie
42-500 Będzin (Małobądz),Kalinowa Będzin będziński,śląskie
42-500 Będzin,Kamienna Będzin będziński,śląskie
42-500 Będzin,Kamienne Schodki Będzin będziński,śląskie
42-500 Będzin,Mariana Kantora-Mirskiego Będzin będziński,śląskie
42-500 Będzin,Marcina Kasprzaka Będzin będziński,śląskie
42-500 Będzin (Małobądz),Kasztanowa Będzin będziński,śląskie
42-506 Będzin (Grodziec),Stanisława Kempy Będzin będziński,śląskie
42-500 Będzin (Warpie),Kielecka Będzin będziński,śląskie
42-506 Będzin (Grodziec),Kijowska Będzin będziński,śląskie
42-506 Będzin (Grodziec),Wojciecha Kilara Będzin będziński,śląskie
42-500 Będzin (Małobądz),Klonowa Będzin będziński,śląskie
42-500 Będzin,Władysława Kniewskiego Będzin będziński,śląskie
42-500 Będzin,Jana Kochanowskiego Będzin będziński,śląskie
42-500 Będzin (Ksawera),Kolejowa Będzin będziński,śląskie
42-504 Będzin (Łagisza),Kolorowa Będzin będziński,śląskie
42-506 Będzin (Grodziec),Hugona Kołłątaja Będzin będziński,śląskie
42-506 Będzin (Grodziec),Marii Konopnickiej Będzin będziński,śląskie
42-500 Będzin (Warpie),Mikołaja Kopernika Będzin będziński,śląskie
42-504 Będzin (Łagisza),Janusza Korczaka Będzin będziński,śląskie
42-500 Będzin,dr. Tadeusza Kosibowicza Będzin będziński,śląskie
42-500 Będzin (Warpie),Koszelew Będzin będziński,śląskie
42-500 Będzin,Tadeusza Kościuszki Będzin będziński,śląskie
42-500 Będzin,Anastazego Kowalczyka Będzin będziński,śląskie
42-500 Będzin (Warpie),Krakowska Będzin będziński,śląskie
42-500 Będzin,Ignacego Krasickiego Będzin będziński,śląskie
42-506 Będzin (Grodziec),Janka Krasickiego Będzin będziński,śląskie
42-500 Będzin (Ksawera),Kręta Będzin będziński,śląskie
42-500 Będzin,Krośnieńska Będzin będziński,śląskie
42-504 Będzin (Łagisza),Krótka Będzin będziński,śląskie
42-500 Będzin,Leona Kruczkowskiego Będzin będziński,śląskie
42-500 Będzin (Ksawera),Ks. Stanisława Staszica Będzin będziński,śląskie
42-506 Będzin (Grodziec),Kwiatowa Będzin będziński,śląskie
42-500 Będzin,Rutki Laskier Będzin będziński,śląskie
42-506 Będzin (Grodziec),Leśna Będzin będziński,śląskie
42-506 Będzin (Grodziec),Bolesława Limanowskiego Będzin będziński,śląskie
42-500 Będzin (Małobądz),Lipowa Będzin będziński,śląskie
42-500 Będzin,11 Listopada Będzin będziński,śląskie
42-500 Będzin (Małobądz),Ludowa Będzin będziński,śląskie
42-504 Będzin (Łagisza),Łączna Będzin będziński,śląskie
42-500 Będzin (Warpie),Łąkowa Będzin będziński,śląskie
42-500 Będzin,1 Maja Będzin będziński,śląskie
42-500 Będzin,Stanisława Małachowskiego Będzin będziński,śląskie
42-500 Będzin (Małobądz),Małobądzka Będzin będziński,śląskie
42-506 Będzin,Jana Matejki Będzin będziński,śląskie
42-500 Będzin,Tadeusza Mazowieckiego Będzin będziński,śląskie
42-506 Będzin (Grodziec),Adama Mickiewicza Będzin będziński,śląskie
42-500 Będzin,Mieroszewskich Będzin będziński,śląskie
42-500 Będzin,Mieszka I Będzin będziński,śląskie
42-500 Będzin,Jadwigi Migowej Będzin będziński,śląskie
42-506 Będzin,Czesława Miłosza Będzin będziński,śląskie
42-500 Będzin,Modrzejowska Będzin będziński,śląskie
42-506 Będzin (Grodziec),Modrzewiowa Będzin będziński,śląskie
42-500 Będzin,Stanisława Moniuszki Będzin będziński,śląskie
42-506 Będzin (Grodziec),Mostowa Będzin będziński,śląskie
42-500 Będzin (Małobądz),Nadbrzeżna Będzin będziński,śląskie
42-506 Będzin (Grodziec),Nadgórników Będzin będziński,śląskie
42-500 Będzin (Małobądz),Zofii Nałkowskiej Będzin będziński,śląskie
42-500 Będzin,Namiarkowa Będzin będziński,śląskie
42-500 Będzin,Gabriela Narutowicza Będzin będziński,śląskie
42-500 Będzin,Niecała Będzin będziński,śląskie
42-500 Będzin (Małobądz),Juliana Ursyna Niemcewicza Będzin będziński,śląskie
42-504 Będzin (Łagisza),Niepiekło Będzin będziński,śląskie
42-504 Będzin (Łagisza),Niepodległości Będzin będziński,śląskie
42-500 Będzin (Małobądz),Cypriana Kamila Norwida Będzin będziński,śląskie
42-500 Będzin (Brzozowica),Nowa Będzin będziński,śląskie
42-506 Będzin (Grodziec),Marcelego Nowotki Będzin będziński,śląskie
42-504 Będzin (Łagisza),Odkrywkowa Będzin będziński,śląskie
42-504 Będzin (Łagisza),Odrodzenia Będzin będziński,śląskie
42-504 Będzin (Łagisza),Ogrodowa Będzin będziński,śląskie
42-506 Będzin (Grodziec),Stefana Okrzei Będzin będziński,śląskie
42-500 Będzin,Józefa Oleksego Będzin będziński,śląskie
42-500 Będzin (Małobądz),Olszynowa Będzin będziński,śląskie
42-506 Będzin (Grodziec),Władysława Orkana Będzin będziński,śląskie
42-500 Będzin (Warpie),Orla Będzin będziński,śląskie
42-506 Będzin (Grodziec),Elizy Orzeszkowej Będzin będziński,śląskie
42-506 Będzin (Grodziec),Osiedlowa Będzin będziński,śląskie
42-506 Będzin,Osówka Będzin będziński,śląskie
42-500 Będzin,Ignacego Paderewskiego Będzin będziński,śląskie
42-504 Będzin (Łagisza),Parkowa Będzin będziński,śląskie
42-500 Będzin,Partyzantów Będzin będziński,śląskie
42-500 Będzin,Paryska Będzin będziński,śląskie
42-500 Będzin,Paziowa Będzin będziński,śląskie
42-500 Będzin,PCK Będzin będziński,śląskie
42-506 Będzin (Grodziec),Piaskowa Będzin będziński,śląskie
42-500 Będzin,Piastowska Będzin będziński,śląskie
42-500 Będzin,rtm. Witolda Pileckiego Będzin będziński,śląskie
42-500 Będzin,Józefa Piłsudskiego Będzin będziński,śląskie
42-500 Będzin,pl. plac 3 Maja Będzin będziński,śląskie
42-500 Będzin,pl. plac Kazimierza Wielkiego Będzin będziński,śląskie
42-500 Będzin,pl. plac Kolei Warszawsko - Wiedeńskiej Będzin będziński,śląskie
42-500 Będzin,Plebańska Będzin będziński,śląskie
42-506 Będzin (Grodziec),Podgórna Będzin będziński,śląskie
42-500 Będzin,Podgrodzie Będzin będziński,śląskie
42-500 Będzin,Podjazie Będzin będziński,śląskie
42-504 Będzin (Łagisza),Podleśna Będzin będziński,śląskie
42-504 Będzin (Łagisza),Podłosie Będzin będziński,śląskie
42-500 Będzin (Warpie),Podmiejska Będzin będziński,śląskie
42-500 Będzin (Warpie),Józefa Podsiadły Będzin będziński,śląskie
42-500 Będzin (Ksawera),Podskarpie Będzin będziński,śląskie
42-500 Będzin,Podwale Będzin będziński,śląskie
42-500 Będzin,Podzamcze Będzin będziński,śląskie
42-504 Będzin (Łagisza),Pokoju Będzin będziński,śląskie
42-500 Będzin (Warpie),Wincentego Pola Będzin będziński,śląskie
42-500 Będzin (Brzozowica),Polna Będzin będziński,śląskie
42-506 Będzin (Grodziec),Południowa Będzin będziński,śląskie
42-506 Będzin (Grodziec),Poprzeczna Będzin będziński,śląskie
42-500 Będzin,Ignacego Potockiego Będzin będziński,śląskie
42-500 Będzin,Powstańców Śląskich Będzin będziński,śląskie
42-504 Będzin (Łagisza),Produkcyjna Będzin będziński,śląskie
42-500 Będzin,Plac prof. Włodzimierza Wójcika Będzin będziński,śląskie
42-500 Będzin (Warpie),Kazimierza Promyka Będzin będziński,śląskie
42-500 Będzin (Brzozowica),Prosta Będzin będziński,śląskie
42-500 Będzin (Małobądz),Bolesława Prusa Będzin będziński,śląskie
42-506 Będzin (Grodziec),Przechodnia Będzin będziński,śląskie
42-506 Będzin (Grodziec),Przodowników Pracy Będzin będziński,śląskie
42-500 Będzin (Warpie),Przyjaźni Będzin będziński,śląskie
42-500 Będzin (Warpie),Wincentego Pstrowskiego Będzin będziński,śląskie
42-504 Będzin (Łagisza),Pustkowie Będzin będziński,śląskie
42-506 Będzin (Grodziec),Racjonalizatorów Będzin będziński,śląskie
42-504 Będzin (Łagisza),Radosna Będzin będziński,śląskie
42-500 Będzin,Mikołaja Reja Będzin będziński,śląskie
42-500 Będzin,Józefa Retingera Będzin będziński,śląskie
42-500 Będzin,Rewolucjonistów Będzin będziński,śląskie
42-500 Będzin (Małobądz),Władysława Reymonta Będzin będziński,śląskie
42-500 Będzin (Warpie),Robotnicza Będzin będziński,śląskie
42-506 Będzin,Rodzinna Będzin będziński,śląskie
42-500 Będzin (Małobądz),Rolnicza Będzin będziński,śląskie
42-500 Będzin,Różana Będzin będziński,śląskie
42-506 Będzin (Grodziec),Ludomira Różyckiego Będzin będziński,śląskie
42-500 Będzin,Henryka Rutkowskiego Będzin będziński,śląskie
42-500 Będzin,Rybna Będzin będziński,śląskie
42-500 Będzin,Rybny Rynek Będzin będziński,śląskie
42-500 Będzin,Rycerska Będzin będziński,śląskie
42-504 Będzin (Łagisza),Rzeczna Będzin będziński,śląskie
42-504 Będzin (Łagisza),Rzemieślnicza Będzin będziński,śląskie
42-500 Będzin,Rzeszowska Będzin będziński,śląskie
42-500 Będzin,Sadowa Będzin będziński,śląskie
42-500 Będzin,Sączewskiego Będzin będziński,śląskie
42-500 Będzin (Warpie),Sielecka Będzin będziński,śląskie
42-500 Będzin (Ksawera),Siemońska Będzin będziński,śląskie
42-500 Będzin (Warpie),Henryka Sienkiewicza Będzin będziński,śląskie
42-500 Będzin (Brzozowica),Zygmunta Sierakowskiego Będzin będziński,śląskie
42-500 Będzin (Małobądz),Sierżanta Grzegorza Załogi Będzin będziński,śląskie
42-500 Będzin,Józefa Skalskiego Będzin będziński,śląskie
42-500 Będzin,Stanisława Skalskiego Będzin będziński,śląskie
42-500 Będzin,Skośna Będzin będziński,śląskie
42-500 Będzin (Warpie),Słoneczna Będzin będziński,śląskie
42-506 Będzin (Grodziec),Juliusza Słowackiego Będzin będziński,śląskie
42-500 Będzin (Małobądz),Słowiańska Będzin będziński,śląskie
42-500 Będzin,Sosnowa Będzin będziński,śląskie
42-500 Będzin (Ksawera),Spacerowa Będzin będziński,śląskie
42-500 Będzin (Brzozowica),Spokojna Będzin będziński,śląskie
42-500 Będzin,Sportowa Będzin będziński,śląskie
42-500 Będzin (Warpie),Spółdzielcza Będzin będziński,śląskie
42-504 Będzin (Łagisza),Stachowe Będzin będziński,śląskie
42-500 Będzin (Ksawera),Wawrzyńca Stalickiego Będzin będziński,śląskie
42-500 Będzin,Stawowa Będzin będziński,śląskie
42-500 Będzin,Stokrotek Będzin będziński,śląskie
42-506 Będzin (Grodziec),Strzyżowicka Będzin będziński,śląskie
42-500 Będzin,Lucjana Szenwalda Będzin będziński,śląskie
42-500 Będzin (Małobądz),Szkolna Będzin będziński,śląskie
42-500 Będzin,Rafała Sznajdera Będzin będziński,śląskie
42-500 Będzin (Małobądz),Szybowa Będzin będziński,śląskie
42-506 Będzin (Grodziec),Szybowcowa Będzin będziński,śląskie
42-500 Będzin,Wisławy Szymborskiej Będzin będziński,śląskie
42-500 Będzin,bp. Adama Śmigielskiego Będzin będziński,śląskie
42-500 Będzin (Ksawera),Środkowa Będzin będziński,śląskie
42-506 Będzin,prof. Jana Świderskiego Będzin będziński,śląskie
"42-500 Będzin (Brzozowica),""Karola Świerczewskiego 2-15, 17-103(n), Będzin będziński"",śląskie"
",""28-102(p), 115"","
42-504 Będzin (Łagisza),Karola Świerczewskiego 104-123 Będzin będziński,śląskie
42-504 Będzin (Łagisza),Świerkowa Będzin będziński,śląskie
42-500 Będzin (Warpie),Świętego Brata Alberta Będzin będziński,śląskie
42-500 Będzin,Teatralna Będzin będziński,śląskie
42-500 Będzin (Małobądz),Topolowa Będzin będziński,śląskie
42-506 Będzin (Grodziec),Torowa Będzin będziński,śląskie
42-500 Będzin,Tulipanów Będzin będziński,śląskie
42-500 Będzin,Turniejowa Będzin będziński,śląskie
42-500 Będzin,Juliana Tuwima Będzin będziński,śląskie
42-504 Będzin (Łagisza),Usługowa Będzin będziński,śląskie
42-500 Będzin,Andrzeja Wajdy Będzin będziński,śląskie
42-500 Będzin,Walki Młodych Będzin będziński,śląskie
42-500 Będzin (Warpie),Wapienna Będzin będziński,śląskie
42-500 Będzin (Ksawera),Wąska Będzin będziński,śląskie
42-500 Będzin (Warpie),Wesoła Będzin będziński,śląskie
42-506 Będzin (Grodziec),Węgroda Będzin będziński,śląskie
42-500 Będzin (Brzozowica),Wiejska Będzin będziński,śląskie
42-500 Będzin (Małobądz),Wierzbowa Będzin będziński,śląskie
42-500 Będzin (Warpie),Wilcza Będzin będziński,śląskie
42-506 Będzin (Grodziec),Willowa Będzin będziński,śląskie
42-506 Będzin (Grodziec),Wiśniowa Będzin będziński,śląskie
42-500 Będzin,Władysława Jagiełły Będzin będziński,śląskie
42-506 Będzin (Grodziec),Wojska Polskiego Będzin będziński,śląskie
"42-506 Będzin (Grodziec),""Wolności 80, 87-315(n), Będzin będziński"",śląskie"
,94-392(p),
"42-500 Będzin,""Wolności 1, 6-92 Będzin będziński"",śląskie"
42-500 Będzin (Warpie),Wolska Będzin będziński,śląskie
42-500 Będzin,Pl. Włodzimierza Wójcika Będzin będziński,śląskie
42-506 Będzin (Grodziec),Walerego Wróblewskiego Będzin będziński,śląskie
42-500 Będzin,Wrzosowa Będzin będziński,śląskie
42-500 Będzin,Wspólna Będzin będziński,śląskie
42-500 Będzin,Stanisława Wygodzkiego Będzin będziński,śląskie
42-500 Będzin (Małobądz),Stanisława Wyspiańskiego Będzin będziński,śląskie
42-500 Będzin (Warpie),Wyzwolenia Będzin będziński,śląskie
42-500 Będzin (Brzozowica),Zaciszna Będzin będziński,śląskie
42-506 Będzin,mjr. Bolesława Zagórnego Będzin będziński,śląskie
42-500 Będzin (Warpie),Zagórska Będzin będziński,śląskie
42-500 Będzin,Zamkowa Będzin będziński,śląskie
42-500 Będzin,Zawale Będzin będziński,śląskie
42-500 Będzin (Małobądz),Zawodzie Będzin będziński,śląskie
42-500 Będzin (Brzozowica),Zielona Będzin będziński,śląskie
42-500 Będzin,Zwycięstwa Będzin będziński,śląskie
42-500 Będzin (Małobądz),Stefana Żeromskiego Będzin będziński,śląskie
42-500 Będzin (Ksawera),Franciszka Żwirki i Stanisława Wigury Będzin będziński,śląskie
42-506 Będzin (Grodziec),Żytnia Będzin będziński,śląskie
76-037 Będzinko (Zagaje),Będzino koszaliński,zachodniopomorskie
76-037 Będzinko (Barnin),Będzino koszaliński,zachodniopomorskie
76-037 Będzinko,Będzino koszaliński,zachodniopomorskie
76-037 Będzino,Będzino koszaliński,zachodniopomorskie
19-504 Będziszewo,Dubeninki gołdapski,warmińsko-mazurskie
88-180 Będzitowo,Złotniki Kujawskie inowrocławski,kujawsko-pomorskie
88-180 Będzitówek,Złotniki Kujawskie inowrocławski,kujawsko-pomorskie
09-300 Będzymin,Żuromin żuromiński,mazowieckie
97-510 Będzyn,Ręczno piotrkowski,łódzkie
97-515 Będzyn,Masłowice radomszczański,łódzkie
89-652 Będźmierowice,Czersk chojnicki,pomorskie
11-311 Bęsia,Kolno olsztyński,warmińsko-mazurskie
87-603 Bętlewo,Wielgie lipnowski,kujawsko-pomorskie
46-233 Biadacz,Kluczbork kluczborski,opolskie
46-233 Biadacz (Brodnica),Kluczbork kluczborski,opolskie
46-233 Biadacz (Kamienisko),Kluczbork kluczborski,opolskie
46-233 Biadacz (Przybkowice),Kluczbork kluczborski,opolskie
46-233 Biadacz (Wrzosy),Kluczbork kluczborski,opolskie
46-022 Biadacz,Łubniany opolski,opolskie
98-260 Biadaczew,Burzenin sieradzki,łódzkie
